Anzsic,Anzsic_descriptor,Gas,Period,Data_value,Variable,Units,Magnitude
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2010.03,9791,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2010.06,9903,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2010.09,9893,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2010.12,9827,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2011.03,9955,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2011.06,10030,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2011.09,10057,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2011.12,10049,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2014.12,10387,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2015.03,10239,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2015.06,10252,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2015.09,10243,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2015.12,10238,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2016.03,10124,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2016.06,10118,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2016.09,10116,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2016.12,10135,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2018.03,10154,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2018.06,10194,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2018.09,10360,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2018.12,10319,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2021.03,10109,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
